problem,form,note,tactic,result,apply_ms,solve_ms,total_ms,workers
wide_sum,recfun,"8 independent recfun symbols, each backward",auflira,sat,2691.5,0.05,2691.55,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qfidl,tactic_to,5006.49,0.0,5006.49,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qflia,tactic_to,5018.27,0.0,5018.27,20
wide_sum,recfun,"8 independent recfun symbols, each backward",occf,unknown,0.03,20027.96,20027.99,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qflra,tactic_to,5020.19,0.0,5020.19,20
wide_sum,recfun,"8 independent recfun symbols, each backward",special-relations,sat,0.52,13794.46,13794.98,20
wide_sum,recfun,"8 independent recfun symbols, each backward",reduce-args,sat,0.02,18001.17,18001.2,20
wide_sum,recfun,"8 independent recfun symbols, each backward",lia,sat,2623.88,0.05,2623.93,20
wide_sum,recfun,"8 independent recfun symbols, each backward",lira,sat,2966.27,0.05,2966.32,20
wide_sum,recfun,"8 independent recfun symbols, each backward",smt,sat,3116.73,0.05,3116.77,20
wide_sum,recfun,"8 independent recfun symbols, each backward",bv,sat,2887.09,0.04,2887.12,20
wide_sum,recfun,"8 independent recfun symbols, each backward",aufnira,tactic_to,5018.28,0.0,5018.28,20
wide_sum,recfun,"8 independent recfun symbols, each backward",lra,tactic_to,5011.1,0.0,5011.1,20
wide_sum,recfun,"8 independent recfun symbols, each backward",reduce-args2,unknown,0.14,20026.18,20026.32,20
wide_sum,recfun,"8 independent recfun symbols, each backward",qfnra,sat,1.32,8114.35,8115.67,20
wide_sum,recfun,"8 independent recfun symbols, each backward",ufbv,sat,4906.05,0.1,4906.15,20
wide_sum,recfun,"8 independent recfun symbols, each backward",skip,sat,0.04,8484.96,8485.0,20
wide_sum,recfun,"8 independent recfun symbols, each backward",quasi-macros,sat,0.02,8481.79,8481.81,20
wide_sum,recfun,"8 independent recfun symbols, each backward",fpa2bv,unknown,0.04,20027.7,20027.75,20
wide_sum,recfun,"8 independent recfun symbols, each backward",euf-completion,sat,201.13,17439.52,17640.65,20
wide_sum,recfun,"8 independent recfun symbols, each backward",ufbv-rewriter,sat,0.09,9562.68,9562.77,20
wide_sum,recfun,"8 independent recfun symbols, each backward",solve-eqs>simplify,sat,0.1,7924.68,7924.78,20
wide_sum,recfun,"8 independent recfun symbols, each backward",macro-finder,sat,0.03,11578.27,11578.3,20
wide_sum,recfun,"8 independent recfun symbols, each backward",simplify>solve-eqs,sat,0.16,12222.39,12222.54,20
wide_sum,recfun,"8 independent recfun symbols, each backward",elim-term-ite>simplify,sat,0.08,13671.04,13671.12,20
wide_sum,recfun,"8 independent recfun symbols, each backward",propagate-values>solve-eqs,sat,14.81,17489.16,17503.97,20
wide_sum,recfun,"8 independent recfun symbols, each backward",simplify>propagate-values,sat,15.47,19521.95,19537.41,20
wide_sum,recfun,"8 independent recfun symbols, each backward",propagate-values>simplify,sat,16.6,19881.42,19898.02,20
