problem,form,note,tactic,result,apply_ms,solve_ms,total_ms
wrap_double,inline,"non-recursive, nested 2x",qfaufbv,sat,0.06,0.02,0.08
wrap_double,inline,"non-recursive, nested 2x",qfauflia,sat,0.04,0.02,0.06
wrap_double,inline,"non-recursive, nested 2x",qfbv,sat,0.05,0.02,0.07
wrap_double,inline,"non-recursive, nested 2x",qfidl,sat,0.07,0.02,0.09
wrap_double,inline,"non-recursive, nested 2x",qflia,sat,0.1,0.02,0.12
wrap_double,inline,"non-recursive, nested 2x",qflra,sat,0.11,0.02,0.13
wrap_double,inline,"non-recursive, nested 2x",qfnia,sat,2.5,0.02,2.52
wrap_double,inline,"non-recursive, nested 2x",qfnra,sat,0.45,0.02,0.47
wrap_double,inline,"non-recursive, nested 2x",qfuf,sat,0.04,0.02,0.06
wrap_double,inline,"non-recursive, nested 2x",qfufbv,sat,0.05,0.02,0.07
wrap_double,inline,"non-recursive, nested 2x",qfufbv_ackr,sat,0.05,0.02,0.07
wrap_double,inline,"non-recursive, nested 2x",ufnia,sat,0.11,0.02,0.13
wrap_double,inline,"non-recursive, nested 2x",uflra,sat,0.04,0.02,0.06
wrap_double,inline,"non-recursive, nested 2x",auflia,sat,0.1,0.02,0.12
wrap_double,inline,"non-recursive, nested 2x",auflira,sat,0.04,0.02,0.06
wrap_double,inline,"non-recursive, nested 2x",aufnira,sat,0.04,0.02,0.06
wrap_double,inline,"non-recursive, nested 2x",lra,sat,0.04,0.02,0.06
wrap_double,inline,"non-recursive, nested 2x",lia,sat,0.04,0.02,0.06
wrap_double,inline,"non-recursive, nested 2x",lira,sat,0.04,0.02,0.06
wrap_double,inline,"non-recursive, nested 2x",smt,sat,0.12,0.02,0.14
wrap_double,inline,"non-recursive, nested 2x",skip,sat,0.02,0.36,0.38
wrap_double,inline,"non-recursive, nested 2x",fail,tactic_err,0.03,0.0,0.03
wrap_double,inline,"non-recursive, nested 2x",fail-if-undecided,tactic_err,0.03,0.0,0.03
wrap_double,inline,"non-recursive, nested 2x",macro-finder,sat,0.02,0.35,0.37
wrap_double,inline,"non-recursive, nested 2x",quasi-macros,sat,0.04,0.34,0.38
wrap_double,inline,"non-recursive, nested 2x",ufbv-rewriter,sat,0.03,0.33,0.36
wrap_double,inline,"non-recursive, nested 2x",bv,sat,0.06,0.02,0.08
wrap_double,inline,"non-recursive, nested 2x",ufbv,sat,0.06,0.02,0.08
wrap_double,inline,"non-recursive, nested 2x",simplify>solve-eqs,sat,0.04,0.02,0.06
wrap_double,inline,"non-recursive, nested 2x",simplify>propagate-values,sat,0.02,0.34,0.36
wrap_double,inline,"non-recursive, nested 2x",propagate-values>solve-eqs,sat,0.03,0.02,0.05
wrap_double,inline,"non-recursive, nested 2x",ctx-simplify>simplify,sat,0.03,0.33,0.36
wrap_double,inline,"non-recursive, nested 2x",elim-term-ite>simplify,sat,0.03,0.32,0.35
wrap_double,inline,"non-recursive, nested 2x",simplify>ctx-simplify,sat,0.03,0.33,0.36
wrap_double,inline,"non-recursive, nested 2x",propagate-values>simplify,sat,0.02,0.35,0.37
wrap_double,inline,"non-recursive, nested 2x",solve-eqs>simplify,sat,0.03,0.02,0.05
wrap_double,recfun,"non-recursive, dbl() as RecFunction",(none),sat,0.0,0.13,0.13
wrap_double,recfun,"non-recursive, dbl() as RecFunction",ackermannize_bv,sat,0.05,0.11,0.16
wrap_double,recfun,"non-recursive, dbl() as RecFunction",subpaving,sat,0.05,0.14,0.19
wrap_double,recfun,"non-recursive, dbl() as RecFunction",horn,tactic_err,0.3,0.0,0.3
wrap_double,recfun,"non-recursive, dbl() as RecFunction",horn-simplify,tactic_err,0.07,0.0,0.07
wrap_double,recfun,"non-recursive, dbl() as RecFunction",nlsat,sat,0.07,0.1,0.17
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qfnra-nlsat,sat,0.08,0.02,0.1
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qe-light,sat,0.03,0.11,0.14
wrap_double,recfun,"non-recursive, dbl() as RecFunction",nlqsat,tactic_err,0.04,0.0,0.04
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qe,sat,0.02,0.11,0.13
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qsat,sat,0.47,0.02,0.49
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qe2,sat,0.58,0.4,0.98
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qe_rec,sat,0.02,0.11,0.13
wrap_double,recfun,"non-recursive, dbl() as RecFunction",psat,sat,1.93,0.1,2.03
wrap_double,recfun,"non-recursive, dbl() as RecFunction",sat,sat,0.35,0.1,0.45
wrap_double,recfun,"non-recursive, dbl() as RecFunction",sat-preprocess,sat,0.35,0.09,0.44
wrap_double,recfun,"non-recursive, dbl() as RecFunction",ctx-solver-simplify,sat,0.85,0.38,1.23
wrap_double,recfun,"non-recursive, dbl() as RecFunction",psmt,sat,2.86,0.03,2.89
wrap_double,recfun,"non-recursive, dbl() as RecFunction",unit-subsume-simplify,sat,0.35,0.48,0.83
wrap_double,recfun,"non-recursive, dbl() as RecFunction",aig,sat,0.03,0.11,0.14
wrap_double,recfun,"non-recursive, dbl() as RecFunction",add-bounds,unsat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",card2bv,sat,0.05,0.1,0.15
wrap_double,recfun,"non-recursive, dbl() as RecFunction",degree-shift,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",diff-neq,tactic_err,0.03,0.0,0.03
wrap_double,recfun,"non-recursive, dbl() as RecFunction",eq2bv,sat,0.05,0.1,0.15
wrap_double,recfun,"non-recursive, dbl() as RecFunction",factor,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",fix-dl-var,sat,0.03,0.09,0.12
wrap_double,recfun,"non-recursive, dbl() as RecFunction",fm,sat,0.02,0.1,0.12
wrap_double,recfun,"non-recursive, dbl() as RecFunction",lia2card,sat,0.04,0.05,0.09
wrap_double,recfun,"non-recursive, dbl() as RecFunction",lia2pb,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",nla2bv,tactic_err,0.05,0.0,0.05
wrap_double,recfun,"non-recursive, dbl() as RecFunction",normalize-bounds,sat,0.06,0.15,0.21
wrap_double,recfun,"non-recursive, dbl() as RecFunction",pb2bv,tactic_err,0.06,0.0,0.06
wrap_double,recfun,"non-recursive, dbl() as RecFunction",propagate-ineqs,sat,0.06,0.1,0.16
wrap_double,recfun,"non-recursive, dbl() as RecFunction",purify-arith,sat,0.04,0.11,0.15
wrap_double,recfun,"non-recursive, dbl() as RecFunction",recover-01,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",bit-blast,sat,0.02,0.1,0.12
wrap_double,recfun,"non-recursive, dbl() as RecFunction",bv1-blast,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",bv_bound_chk,sat,0.02,0.12,0.14
wrap_double,recfun,"non-recursive, dbl() as RecFunction",propagate-bv-bounds,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",propagate-bv-bounds2,sat,0.05,0.09,0.14
wrap_double,recfun,"non-recursive, dbl() as RecFunction",reduce-bv-size,sat,0.02,0.09,0.11
