task,scale,encoding,theories,combo,combo_len,result,ok,tactic_ms,solve_ms,total_ms,rlimit
dispatch,50,ite,bool+int,elim-term-ite>elim-term-ite,2,sat,True,0.08,1.89,1.97,23613
dispatch,50,ite,bool+int,elim-term-ite>propagate-ineqs,2,sat,True,0.11,1.87,1.98,24913
dispatch,50,ite,bool+int,elim-term-ite>ctx-simplify,2,sat,True,0.18,2.09,2.27,28271
dispatch,50,ite,bool+int,elim-term-ite>simplify[blast_select_store=True],2,sat,True,0.11,1.88,1.99,25961
dispatch,50,ite,bool+int,propagate-ineqs>simplify,2,sat,True,0.09,0.36,0.45,946
dispatch,50,ite,bool+int,propagate-ineqs>propagate-values,2,sat,True,0.08,0.32,0.4,492
dispatch,50,ite,bool+int,propagate-ineqs>solve-eqs,2,sat,True,0.09,0.02,0.11,588
dispatch,50,ite,bool+int,propagate-ineqs>elim-term-ite,2,sat,True,0.06,0.35,0.41,948
dispatch,50,ite,bool+int,propagate-ineqs>propagate-ineqs,2,sat,True,0.07,0.35,0.42,981
dispatch,50,ite,bool+int,propagate-ineqs>ctx-simplify,2,sat,True,0.08,0.32,0.4,530
dispatch,50,ite,bool+int,propagate-ineqs>simplify[blast_select_store=True],2,sat,True,0.07,0.35,0.42,946
dispatch,50,ite,bool+int,ctx-simplify>simplify,2,sat,True,0.08,0.35,0.43,1042
dispatch,50,ite,bool+int,ctx-simplify>propagate-values,2,sat,True,0.03,0.38,0.41,1646
dispatch,50,ite,bool+int,ctx-simplify>solve-eqs,2,sat,True,0.03,0.38,0.41,1652
dispatch,50,ite,bool+int,ctx-simplify>elim-term-ite,2,sat,True,0.08,1.95,2.03,25907
dispatch,50,ite,bool+int,ctx-simplify>propagate-ineqs,2,sat,True,0.11,0.35,0.46,1149
dispatch,50,ite,bool+int,ctx-simplify>ctx-simplify,2,sat,True,0.06,0.38,0.44,1900
dispatch,50,ite,bool+int,ctx-simplify>simplify[blast_select_store=True],2,sat,True,0.06,0.36,0.42,1043
dispatch,50,ite,bool+int,simplify[blast_select_store=True]>simplify,2,sat,True,0.06,0.35,0.41,842
dispatch,50,ite,bool+int,simplify[blast_select_store=True]>propagate-values,2,sat,True,0.06,0.32,0.38,388
dispatch,50,ite,bool+int,simplify[blast_select_store=True]>solve-eqs,2,sat,True,0.08,0.02,0.1,484
dispatch,50,ite,bool+int,simplify[blast_select_store=True]>elim-term-ite,2,sat,True,0.05,0.35,0.4,842
dispatch,50,ite,bool+int,simplify[blast_select_store=True]>propagate-ineqs,2,sat,True,0.06,0.35,0.41,855
dispatch,50,ite,bool+int,simplify[blast_select_store=True]>ctx-simplify,2,sat,True,0.06,0.32,0.38,418
dispatch,50,ite,bool+int,simplify[blast_select_store=True]>simplify[blast_select_store=True],2,sat,True,0.05,0.35,0.4,842
dispatch,50,array,array+int,(none),0,sat,True,0.0,11.16,11.16,48241
dispatch,50,array,array+int,simplify,1,sat,True,0.02,17.01,17.03,67253
dispatch,50,array,array+int,propagate-values,1,sat,True,0.01,10.73,10.74,52921
dispatch,50,array,array+int,solve-eqs,1,sat,True,0.02,18.79,18.81,55215
dispatch,50,array,array+int,elim-term-ite,1,sat,True,0.01,16.86,16.87,64420
dispatch,50,array,array+int,propagate-ineqs,1,sat,True,0.03,13.83,13.86,50016
dispatch,50,array,array+int,ctx-simplify,1,sat,True,0.02,14.48,14.5,50828
dispatch,50,array,array+int,simplify[blast_select_store=True],1,sat,True,0.1,0.4,0.5,877
